ID,year,i.vars.label,ivars_class,data.source,pid,pr_agree,year_1,year_2,year_3,ind,dem,new
254,2016,FS.public.schools,1,NES,props.d,0.889112214,2.2,4.84,10.648,0,1,8
255,1984,FS.public.schools,1,NES,props.i,0.566820276,-1,1,-1,1,0,8
256,1988,FS.public.schools,1,NES,props.i,0.658119658,-0.6,0.36,-0.216,1,0,8
257,1990,FS.public.schools,1,NES,props.i,0.671232877,-0.4,0.16,-0.064,1,0,8
258,1992,FS.public.schools,1,NES,props.i,0.632135341,-0.2,0.04,-0.008,1,0,8
259,1994,FS.public.schools,1,NES,props.i,0.651675377,0,0,0,1,0,8
260,1996,FS.public.schools,1,NES,props.i,0.690796465,0.2,0.04,0.008,1,0,8
261,2000,FS.public.schools,1,NES,props.i,0.805034316,0.6,0.36,0.216,1,0,8
262,2002,FS.public.schools,1,NES,props.i,0.728683899,0.8,0.64,0.512,1,0,8
263,2004,FS.public.schools,1,NES,props.i,0.857471348,1,1,1,1,0,8
264,2008,FS.public.schools,1,NES,props.i,0.813525184,1.4,1.96,2.744,1,0,8
265,2012,FS.public.schools,1,NES,props.i,0.662916733,1.8,3.24,5.832,1,0,8
266,2016,FS.public.schools,1,NES,props.i,0.814591122,2.2,4.84,10.648,1,0,8
267,1984,FS.public.schools,1,NES,props.r,0.451108214,-1,1,-1,0,0,8
268,1988,FS.public.schools,1,NES,props.r,0.545006165,-0.6,0.36,-0.216,0,0,8
269,1990,FS.public.schools,1,NES,props.r,0.536827195,-0.4,0.16,-0.064,0,0,8
270,1992,FS.public.schools,1,NES,props.r,0.548086373,-0.2,0.04,-0.008,0,0,8
271,1994,FS.public.schools,1,NES,props.r,0.622396162,0,0,0,0,0,8
272,1996,FS.public.schools,1,NES,props.r,0.566407824,0.2,0.04,0.008,0,0,8
273,2000,FS.public.schools,1,NES,props.r,0.668057448,0.6,0.36,0.216,0,0,8
274,2002,FS.public.schools,1,NES,props.r,0.690900114,0.8,0.64,0.512,0,0,8
275,2004,FS.public.schools,1,NES,props.r,0.598915963,1,1,1,0,0,8
276,2008,FS.public.schools,1,NES,props.r,0.616329558,1.4,1.96,2.744,0,0,8
277,2012,FS.public.schools,1,NES,props.r,0.584559113,1.8,3.24,5.832,0,0,8
278,2016,FS.public.schools,1,NES,props.r,0.631100672,2.2,4.84,10.648,0,0,8
279,1986,FS.aid.4.college,1,NES,props.d,0.481410867,-0.8,0.64,-0.512,0,1,9
280,1988,FS.aid.4.college,1,NES,props.d,0.557446809,-0.6,0.36,-0.216,0,1,9
281,1992,FS.aid.4.college,1,NES,props.d,0.684618361,-0.2,0.04,-0.008,0,1,9
282,1996,FS.aid.4.college,1,NES,props.d,0.639217318,0.2,0.04,0.008,0,1,9
283,1986,FS.aid.4.college,1,NES,props.i,0.391941392,-0.8,0.64,-0.512,1,0,9
284,1988,FS.aid.4.college,1,NES,props.i,0.433035714,-0.6,0.36,-0.216,1,0,9
285,1992,FS.aid.4.college,1,NES,props.i,0.5671605,-0.2,0.04,-0.008,1,0,9
286,1996,FS.aid.4.college,1,NES,props.i,0.544478971,0.2,0.04,0.008,1,0,9
287,1986,FS.aid.4.college,1,NES,props.r,0.298927614,-0.8,0.64,-0.512,0,0,9
288,1988,FS.aid.4.college,1,NES,props.r,0.351351351,-0.6,0.36,-0.216,0,0,9
289,1992,FS.aid.4.college,1,NES,props.r,0.503300633,-0.2,0.04,-0.008,0,0,9
290,1996,FS.aid.4.college,1,NES,props.r,0.430394743,0.2,0.04,0.008,0,0,9
